Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Spencer Turnbull","PHI",2,2,,4.385964977509273,15,8,0,0,,51.29999923706055,221,47,27,25,6,20,0,5,49,8.596491355918175,3.508771982007419,2.45,1.0526315946022256,0.22171945701357465,0.09049773755656108,0.13122171945701355,0.23979591836734693,1.3060429044138726,0.2907801418439716,0.68259385665529,,,4.23860455056984,0.5433567651879756,,,,,,,,,206.6199943542481,4.0276802617373155,201.49999618530273,3.9278752277199556,,,,,,,,,,,,,,,,,,,"Spencer Turnbull","16207",605513
"Adam Seminaris","SEA",4,5,,4.393305626322242,21,12,0,0,,71.69999694824219,316,75,38,35,8,25,0,2,54,6.778242966325745,3.1380754473730303,2.16,1.0041841431593697,0.17088607594936708,0.07911392405063292,0.09177215189873417,0.25951557093425603,1.3947001988324579,0.29515418502202645,0.6981981981981982,,,4.2403989313907875,0.541254313488528,,,,,,,,,264.1799774169922,3.6845186703103323,281.49998474121094,3.9260808468990076,,,,,,,,,,,,,,,,,,,"Adam Seminaris","sa3015010",694372
"Reiver Sanmartin","CIN",3,4,,4.727955039533648,28,7,0,0,,53.29999923706055,234,55,30,28,6,20,0,2,44,7.4296436335528755,3.3771107425240343,2.2,1.0131332227572103,0.18803418803418803,0.08547008547008547,0.10256410256410256,0.25943396226415094,1.4071294760516808,0.30246913580246915,0.6756756756756758,,,4.217136453741717,0.5412366554485238,,,,,,,,,199.61999435424804,3.7452157075351007,210.49999618530273,3.9493433245480785,,,,,,,,,,,,,,,,,,,"Reiver Sanmartin","19754",665665
"Matt Osterberg","PHI",4,6,,4.938409685656995,20,19,0,0,,89.30000305175781,392,101,53,49,13,24,0,3,53,5.3415451702004235,2.418812907260569,2.2083333333333335,1.3101903247661415,0.13520408163265307,0.061224489795918366,0.0739795918367347,0.27671232876712326,1.3997759879980145,0.29431438127090304,0.6741573033707865,,,4.779021716463507,0.540622614736363,,,,,,,,,263.3200225830078,2.948712358166314,302.50001525878906,3.3874580618262873,,,,,,,,,,,,,,,,,,,"Matt Osterberg","sa3017462",684296
"Erik Miller","SFG",4,3,,3.75,62,8,1.2130000591278076,12.353599548339844,,60,261,48,27,25,6,34,0,2,75,11.25,5.1,2.2058823529411766,0.9,0.28735632183908044,0.13026819923371646,0.15708812260536398,0.21333333333333335,1.3666666666666667,0.2916666666666667,0.7472826086956522,,,3.766479778289795,0.538995083967472,,,,,,,,,342.8793984889984,5.714656641483306,319.4793984889984,5.3246566414833065,,,,,,,,,,,,,,,,,,,"Erik Miller","26252",669062
"Aaron Brown","HOU",5,6,,4.486266391749761,23,15,0,0,,98.30000305175781,426,104,53,49,15,29,0,3,73,6.6836213591373985,2.6551372522600625,2.5172413793103448,1.3733468546172738,0.17136150234741784,0.06807511737089202,0.10328638497652583,0.2639593908629442,1.3530009752896104,0.2908496732026144,0.7142857142857143,,,4.641556029545385,0.5376986252186902,,,,,,,,,322.5200225830078,3.280976730114562,346.50001525878906,3.52492374874441,,,,,,,,,,,,,,,,,,,"Aaron Brown","sa3017500",676345
"Jason Alexander","OAK",4,6,,4.7277938340791,23,20,0,0,,104.69999694824219,459,114,59,55,14,30,0,6,71,6.103152040356656,2.5787966367704183,2.3666666666666667,1.2034384304928618,0.15468409586056645,0.06535947712418301,0.08932461873638343,0.2695035460992908,1.3753582062775564,0.2958579881656805,0.6832797427652733,,,4.580042379186173,0.5375439155804571,,,,,,,,,340.17997741699213,3.249092524665097,375.49998474121094,3.5864373991036227,,,,,,,,,,,,,,,,,,,"Jason Alexander","19666",669920
"Osvaldo Bido","OAK",6,6,,4.579439107213509,24,16,0,0.667900025844574,,96.30000305175781,420,88,53,49,12,41,0,10,91,8.50467262768223,3.831775579505181,2.2195121951219514,1.121495291562492,0.21666666666666667,0.09761904761904762,0.11904761904761905,0.23848238482384823,1.339563820477421,0.2857142857142857,0.6773618538324421,,,4.485275167441985,0.5362328882011018,,,,,,,,,367.89162268638614,3.820265950445064,357.17161536216736,3.708947082485557,,,,,,,,,,,,,,,,,,,"Osvaldo Bido","23150",674370
"Alex Cornwell","STL",5,5,,4.5,22,15,0,0,,90,393,97,49,45,12,26,0,4,62,6.2,2.6,2.3846153846153846,1.2,0.15776081424936386,0.06615776081424936,0.0916030534351145,0.26721763085399447,1.3666666666666667,0.29411764705882354,0.6967984934086628,,,4.52203533384535,0.5361618859399484,,,,,,,,,300.19999999999993,3.3355555555555547,328,3.6444444444444444,,,,,,,,,,,,,,,,,,,"Alex Cornwell","sa3017501",676498
"Blayne Enlow","SFG",3,4,,4.390244094662291,20,15,0,0,,69.69999694824219,305,70,37,34,8,24,0,6,57,7.360115099875018,3.0989958315263233,2.375,1.0329986105087745,0.18688524590163935,0.07868852459016394,0.10819672131147541,0.2545454545454545,1.3486370748309,0.29523809523809524,0.6884057971014493,,,4.314256012188434,0.5325479935803671,,,,,,,,,259.37997741699223,3.721377170354865,268.49998474121094,3.852223766101362,,,,,,,,,,,,,,,,,,,"Blayne Enlow","sa3005117",669416
