Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jonah Dipoto",,0.0462,0.0568,0.0132,4.797,0.8235,0.0375,0,0,,1,4.435,1.0306,0.5715,0.533,0.142889,0.4375,0.022,0.0604,0.7837,7.0533,3.9375,1.79131,1.286,0.176708,0.0986471,0.07806087285280228,0.261766,1.4681,0.294871,0.707067,0.417009,,4.91899,-0.00588492,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jonah Dipoto","sa3010776",665167
"Trey Riley",,0.0453,0.0527,0,4.75596,1,0,0,0,,1,4.486,1.0042,0.5685,0.52844,0.129111,0.5416,0.0272,0.0465,0.8292,7.4628,4.8744,1.53102,1.162,0.184842,0.120731,0.06411057710647583,0.257626,1.5458,0.297691,0.715947,0.438007,,4.91948,-0.00589041,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Trey Riley","sa3007611",681803
"Alex Mauricio","NYY",0.0467,0.0512,0,4.68702,1,0,0,0,,1,4.407,1.0002,0.5565,0.52078,0.159444,0.4326,0.0267,0.0394,0.8288,7.4592,3.8934,1.91586,1.435,0.188064,0.098162,0.08990243077278137,0.25418,1.4328,0.285316,0.724468,0.378763,,4.96631,-0.00589457,-0.049937,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Alex Mauricio","sa3004337",676089
"Daniel Martinez",,0.0478,0.0617,0.031,4.82904,0.5993,0.0853,0,0,,1,4.385,1.0395,0.5727,0.53656,0.158556,0.3746,0.0156,0.0506,0.7757,6.9813,3.3714,2.07074,1.427,0.176899,0.0854276,0.09147091954946518,0.262513,1.4141,0.291169,0.7058,0.383627,,4.92056,-0.0059025,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Daniel Martinez","sa3007734",681979
"Jarold Rosado","CHW",0.0432,0.0547,0,4.87458,1,0,0,0,,1,4.478,1.0083,0.5796,0.54162,0.148556,0.5241,0.0272,0.0437,0.8166,7.3494,4.7169,1.5581,1.337,0.182358,0.117039,0.06531933695077896,0.257864,1.5324,0.291929,0.719408,0.404452,,5.13656,-0.00591602,-0.0473908,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jarold Rosado","sa3016502",695316
"Antonio Menendez","ARI",0.0467,0.0513,0,4.67289,1,0,0,0,,1,4.464,1.0271,0.5605,0.51921,0.116556,0.4905,0.0271,0.0594,0.7887,7.0983,4.4145,1.60795,1.049,0.17668,0.109879,0.06680106371641159,0.26241,1.5176,0.302623,0.706648,0.460796,,4.72266,-0.005919,-0.0452986,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Antonio Menendez","sa3018799",694674
"Lucas Gilbreath","COL",0.0429,0.0551,0,5.23638,1,0,0,0,,1,4.527,1.072,0.6201,0.58182,0.151889,0.5066,0.0242,0.0525,0.8406,7.5654,4.5594,1.6593,1.367,0.185686,0.111906,0.07377954572439194,0.270168,1.5786,0.309238,0.701707,0.407401,,5.10579,-0.00591958,-0.0344398,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Lucas Gilbreath","21290",656458
"Carter Rustad","BAL",0.0469,0.0542,0.008,4.85901,0.8903,0.0233,0,0,,1,4.424,1.0488,0.578,0.53989,0.151,0.4261,0.0237,0.0425,0.8011,7.2099,3.8349,1.88008,1.359,0.18108,0.0963156,0.08476492017507553,0.265157,1.4749,0.298938,0.709854,0.415906,,4.90174,-0.00593029,-0.0495773,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Carter Rustad","sa3041350",686811
"Marcelo Martinez",,0.0481,0.059,0.0247,4.84785,0.6825,0.0675,0,0,,1,4.395,1.0592,0.5744,0.53865,0.157667,0.3766,0.018,0.0435,0.7435,6.6915,3.3894,1.97424,1.419,0.16917,0.0856883,0.08348122984170914,0.266472,1.4358,0.293302,0.708932,0.371445,,4.9581,-0.00593201,-0.0449595,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Marcelo Martinez","sa3005060",666502
"Jordan Mikel",,0.0463,0.0588,0.0186,4.85262,0.7502,0.0532,0,0,,1,4.418,1.0595,0.5777,0.53918,0.147778,0.3958,0.0198,0.0554,0.7425,6.6825,3.5622,1.87595,1.33,0.168062,0.089588,0.07847441732883453,0.267092,1.4553,0.296348,0.702974,0.416983,,4.92485,-0.00594051,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jordan Mikel","sa3015094",690464
"Jack Snyder","TBR",0.0434,0.0545,0,4.86135,1,0,0,0,,1,4.439,1.0315,0.5776,0.54015,0.15,0.4519,0.0269,0.0399,0.7747,6.9723,4.0671,1.71432,1.35,0.174521,0.101802,0.07271907478570938,0.261324,1.4834,0.291646,0.711324,0.395555,,5.01114,-0.00594685,-0.0475194,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jack Snyder","sa3018194",801389
"Eury Rosado",,0.0474,0.0613,0.0294,4.87251,0.6215,0.0805,0,0,,1,4.424,1.0297,0.5782,0.54139,0.152111,0.4331,0.0164,0.0466,0.813,7.317,3.8979,1.87716,1.369,0.18377,0.0978978,0.08587252348661423,0.26106,1.4628,0.294573,0.707768,0.390989,,4.92568,-0.00595996,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Eury Rosado","sa3016489",692864
"Sean Reynolds",,0.0459,0.0544,0.0059,4.72239,0.9184,0.0174,0,0,,1,4.463,0.9812,0.5631,0.52471,0.132556,0.5378,0.0234,0.0501,0.8732,7.8588,4.8402,1.62365,1.193,0.195653,0.120502,0.0751512423157692,0.253206,1.519,0.295763,0.716877,0.418021,,4.87566,-0.00597038,-0.0470039,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sean Reynolds","22253",669308
"A.J. Cole",,0.0447,0.0532,0,4.92687,1,0,0,0,,1,4.419,1.0375,0.5819,0.54743,0.159111,0.4184,0.0265,0.0407,0.8268,7.4412,3.7656,1.9761,1.432,0.187101,0.0946821,0.0924190878868103,0.262002,1.4559,0.295357,0.708757,0.357994,,4.92728,-0.0059779,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"A.J. Cole","11467",595918
